country,datadate,ew_return,vw_return
AUT,2023-01-31,-0.006728555505539806,0.11705867048002723
AUT,2023-02-28,-0.03590975045174127,-0.06276733764631987
AUT,2023-03-31,-0.06657164829464894,-0.07892666843222114
AUT,2023-04-30,-0.04706560009934982,-0.06276537689317405
AUT,2023-05-31,-0.054502464179621374,-0.0006457847942830469
AUT,2023-06-30,-0.040683618654571645,-0.022032575854964608
AUT,2023-07-31,-0.034533835806993124,0.10572396568692523
AUT,2023-08-31,-0.06760076255809026,-0.1331754523275006
AUT,2023-09-30,-0.05240094036897545,-0.1462518350574392
AUT,2023-10-31,-0.05473558315018711,-0.12406287928889251
AUT,2023-11-30,-0.023353998062676684,-0.033889890570265355
AUT,2023-12-31,-0.0349914111141541,-0.16457060796554795
AUT,2024-01-31,-0.04338016683504263,-0.06252376122646407
