country,datadate,ew_return,vw_return,period
FRA,2022-06-30,-0.0565072084216739,-0.0821392279705279,Recovery
FRA,2022-07-31,-0.0058239721798921,-0.0477591157087873,Recovery
FRA,2022-08-31,-0.0225761443846654,-0.0850080300613378,Recovery
FRA,2022-09-30,-0.0689800904175383,-0.0869310543356824,Recovery
FRA,2022-10-31,-0.0040971569033669,-0.062985108930352,Recovery
FRA,2022-11-30,-0.0171194447742864,-0.0547915140765559,Recovery
FRA,2022-12-31,-0.0247675691340907,-0.0771125255062053,Recovery
FRA,2023-01-31,0.0046728558674927,-0.0474694521718538,Recovery
FRA,2023-02-28,-0.0158283088378465,-0.0648273812834621,Recovery
FRA,2023-03-31,-0.04161864569705,-0.07505383104398,Recovery
FRA,2023-04-30,-0.0290783636640046,-0.0761904537186955,Recovery
FRA,2023-05-31,-0.0274660934953035,-0.0703290857228484,Recovery
FRA,2023-06-30,-0.0203948211385389,-0.0622907506351343,Recovery
FRA,2023-07-31,-0.0208258252366814,-0.0707873934958766,Recovery
FRA,2023-08-31,-0.0350438104718742,-0.093217708471302,Recovery
FRA,2023-09-30,-0.0521295412893721,-0.0828533880768608,Recovery
FRA,2023-10-31,-0.0553626855013598,-0.0808967695579634,Recovery
FRA,2023-11-30,-0.0119777415275298,-0.0712799826189363,Recovery
FRA,2023-12-31,-0.01252358628298,-0.0884031264587538,Recovery
FRA,2024-01-31,-0.0220565011069748,-0.0841799321568111,Recovery
FRA,2024-02-29,-0.0318628423999175,-0.0926628678503884,Recovery
FRA,2024-03-31,-0.025549839656472,-0.0607643221815474,Recovery
FRA,2024-04-30,-0.0153656067813823,-0.0241529937561058,Recovery
FRA,2024-05-31,0.0001578236700158,-0.0460232486313383,Recovery
FRA,2024-06-30,-0.0659387243415513,-0.0672116266299085,Recovery
FRA,2024-07-31,-0.0091695093278221,-0.0342882728085132,Recovery
FRA,2024-08-31,-0.0249460429532109,-0.0704951745621691,Recovery
FRA,2024-09-30,-0.0291683548117426,-0.0849484614952857,Recovery
FRA,2024-10-31,-0.0358999896631892,-0.0807368421578643,Recovery
FRA,2024-11-30,-0.0375510025391405,-0.0637444566128675,Recovery
FRA,2024-12-31,-0.0190868725872718,-0.0809221985529267,Recovery
GBR,2020-03-31,-0.037083568692228,-0.0093728315497858,Crisis
GBR,2020-04-30,0.0602223985714806,0.0103495501568134,Crisis
